id,sku,name,img_link,description,price,active
1954,5414453169255_16925_1445,prunus,NULL,laur. caucasica,4.9000,1
1956,5414453194660_19466_1363,prunus,http://www.peplan.com/foto/pa/19466.jpg,laur. novita,2.8500,1
1959,5414453102726_10272_1445,prunus,http://www.peplan.com/foto/pa/10272.jpg,laur. otto luycken,4.3000,1
1960,5414453169262_16926_1445,prunus,http://www.peplan.com/foto/pa/16926.jpg,laur. otto luycken,4.8000,1
1963,5414453124360_12436_1363,prunus,http://www.peplan.com/foto/pa/12436.jpg,laur. rotundifolia,2.8500,1
1967,5414453116914_11691_1445,prunus,http://www.peplan.com/foto/pa/11691.jpg,laur. rotundifolia,4.5000,1
1968,5414453103631_10363_1445,prunus,NULL,laur. rotundifolia,4.9000,1
2043,5414453061481_6148_1086,azalea japonica,http://www.peplan.com/foto/pa/6148.jpg,40/+  - c4,5.0000,1
2044,5414453143477_14347_1086,azalea japonica,http://www.peplan.com/foto/pa/14347.jpg,45/50+  - c10,11.0000,1
2045,5414453191188_19118_1086,azalea japonica,http://www.peplan.com/foto/pa/19118.jpg,70/+  - c15,31.0000,1
2124,5414453053455_5345_1469,adiantum,http://www.peplan.com/foto/pa/5345.jpg,pubescens,0.7500,1
2127,5414453052144_5214_1469,asplenium,http://www.peplan.com/foto/pa/5214.jpg,nidus,0.8000,1
2128,5414453179148_17914_1469,asplenium,http://www.peplan.com/foto/pa/17914.jpg,nidus,1.5000,1
2168,5414453100074_10007_1322,hedera,http://www.peplan.com/foto/pa/10007.jpg,chester (panaché blanc),0.4800,1
2169,5414453145631_14563_1322,hedera,http://www.peplan.com/foto/pa/14563.jpg,hibernica 4 bt.(usage couvre-sol),0.4500,1
2191,5414453236889_23688_1322,pennisetum,NULL,alop. little bunny (sans chromo),0.7500,1
2197,5414453174952_17495_1545,laurus nobilis,http://www.peplan.com/foto/pa/17495.jpg,laurier sauce,5.1500,1
2198,5414453174969_17496_1545,laurus nobilis,http://www.peplan.com/foto/pa/17496.jpg,boule - diam. 30 cm,22.5000,1
2203,5414453026473_2647_1545,laurus nobilis,http://www.peplan.com/foto/pa/2647.jpg,1/1 tige - diam.  50,67.5000,1
2206,5414453125824_12582_1545,laurus nobilis,http://www.peplan.com/foto/pa/12582.jpg,1/2 tige - diam. 20-25,20.0000,1
2208,5414453147789_14778_1545,laurus nobilis,http://www.peplan.com/foto/pa/14778.jpg,1/2 tige - diam. 70/75 cm,125.0000,1
